"Cars Mater-National Championship NA, PAL• Cars: La Coupe Internationale de Martin FR",N/A,2007,Tantalus Interactive,THQ,"NA, PAL"
Cartoon Network: Block Party,N/A,2004,Majesco Entertainment,Majesco Sales,"NA, PAL"
Cartoon Network Speedway,N/A,2003,DC Studios,Majesco Entertainment,NA
Casper,N/A,2002,,Microïds,"NA, PAL"
"Castlevania: Aria of Sorrow NA, PAL• Castlevania: Akatsuki no Minuet JP",No,2003,KCEK,Konami,"NA, JP, PAL"
Castlevania: Circle of the Moon NA• Castlevania PAL• Akumajou Dracula: Circle of the Moon JP,No,2001 (JP/NA/PAL),KCEK,Konami,"NA, JP, PAL"
"Castlevania: Harmony of Dissonance NA, PAL• Castlevania: Byakuya no Conserto JP",No,2002,KCEK,Konami,"NA, JP, PAL"
The Cat in the Hat,N/A,2005,Jack of All Games,NewKidCo,NA
Catwoman,No,2004,Magic Pockets,EA Games,"NA, PAL"
Catz,N/A,2006,MTO,Ubisoft,"NA, PAL"
Centipede / Breakout / Warlords,N/A,2005,Epicenter Interactive,DSI Games,"NA, PAL"
Cesti to Meigurumi-tachi no Mahou no Bouken: Kisekko Gurumii,N/A,2003,,MTO,JP
"Charlie and the Chocolate Factory NA, PAL• Charlie et la Chocolaterie FR",Yes,2005,High Voltage Software,Global Star Software,"NA, PAL"
"Charlotte's Web NA, PAL• Le Petit Monde de Charlotte FR• Schweinchen Wilbur und seine Freunde DE• La Telaraña de Carlota ES• Le Tela di Carlotta IT",N/A,2006,Backbone Entertainment,Sega of America,"NA, PAL"
The Cheetah Girls,N/A,2006,Gorilla Systems,Buena Vista Games,NA
The Chessmaster,Yes (SPM),2002,,Ubisoft,"NA, PAL"
Chicken Shoot,N/A,2005,FrontLine Studios,DSI Games,"NA, PAL"
Chicken Shoot 2,N/A,2006,FrontLine Studios,DSI Games,"NA, PAL"
Chobits: Atashi Dake no Hito,N/A,2002,,Marvelous Entertainment,JP
Chocobo Land: A Game of Dice,N/A,2002,SquareSoft,Square,JP
