Title,Genre(s),Developer(s),Publisher(s),Release date,Ref.
Bingo,Board game,"SIMS Co., Ltd.",Starsign,"March 15, 2018",
Biolab Wars,Action,Forever Entertainment,Forever Entertainment,"November 15, 2019",
Biomutant,Action role-playing,Experiment 101,THQ Nordic,"November 30, 2023",
BioShock,First-person shooter,Blind Squirrel Games,2K Games,"May 29, 2020",
BioShock 2,First-person shooter,Blind Squirrel Games,2K Games,"May 29, 2020",
BioShock Infinite,First-person shooter,Blind Squirrel Games,2K Games,"May 29, 2020",
BioShock: The Collection,First-person shooter,Blind Squirrel Games,2K Games,"May 29, 2020"
Biped,Puzzle platformer,Next Studios,JP: BilibiliWW: Meta Publishing,"July 2, 2020",
Bird Game +,"Arcade, Simulation, Adventure",Bryan Tabor,Ratalaika Games,"May 3, 2019",
Birds and Blocks,"Edutainment, Puzzle, Action, Strategy",Sprakelsoft,Sprakelsoft,"September 18, 2020",
Birthday of Midnight,"Adventure, Sports, Action, Arcade",Petite Games,Ratalaika Games,"October 2, 2020",
Bishoujo Battle Cyber Panic!,"Puzzle, Action","EastAsiaSoft, Zoo Corporation",EastAsiaSoft,"March 11, 2021",
Bishoujo Battle: Double Strike!,Puzzle,"EastAsiaSoft, Zoo Corporation",EastAsiaSoft,"April 15, 2022",
Bishoujo Battle Mahjong Solitaire,"Puzzle, Board game","eastasiasoft, ZOO Corporation",eastasiasoft,"July 22, 2021",
Bit Dungeon Plus,Roguelike,KintoGames,Dolores Entertainment,"March 8, 2018",
Bite the Bullet,Role-playing,Mega Cat Studios,Graffiti Games,"August 13, 2020",
Bitlogic: A Cyberpunk Arcade Adventure,"Adventure, platformer",OXiAB Game Studio,OXiAB Game Studio,"June 27, 2019",
Bitmaster,Shoot 'em up,Sometimes You,Sometimes You,"June 23, 2021",
Bit.Trip Beat,"Rhythm, action",Choice Provisions,QubicGames,"December 25, 2020",
Bit.Trip Core,"Rhythm, action",Choice Provisions,QubicGames,"December 25, 2020",
Bit.Trip Fate,"Rhythm, action",Choice Provisions,QubicGames,"December 25, 2020",
Bit.Trip Flux,"Rhythm, action",Choice Provisions,QubicGames,"December 25, 2020",
Bit.Trip Runner,"Rhythm, action",Choice Provisions,QubicGames,"December 25, 2020",
Bit.Trip Void,"Rhythm, action",Choice Provisions,QubicGames,"December 25, 2020",
Biz Builder Delux,"Simulation, Puzzle, Strategy",Kairosoft,Kairosoft,"December 3, 2020",
Black & White Bushido,Beat 'em up,Good Catch,Good Catch,"October 25, 2018",
Black Bird,Shooter,Onion Games,Onion Games,"October 18, 2018",
Black Book,Role-playing,Morteshka,HypeTrain Digital,"August 10, 2021",
Black Jack,"Board game, Party",Sabec,Sabec,"May 14, 2020",
Black Jack World Tour,"Puzzle, Strategy, Party",Dolores Entertainment,Dolores Entertainment,"February 18, 2021",
Black the Fall,Puzzle,Sand Sailor Studio,Sand Sailor Studio,"December 14, 2017",
