GT Cube,MTO,MTO,2003-06-20JP,Unreleased,"June 20, 2003",Unreleased
GUN,Neversoft Entertainment,Activision,2005-11-08NA,"November 25, 2005",Unreleased,"November 8, 2005"
Happy Feet,Artificial Mind and Movement,Midway Games,2006-11-14NA,Unreleased,Unreleased,"November 14, 2006"
Harry Potter and the Chamber of Secrets,Eurocom,EA Games,2002-11-14NA,"November 15, 2002","November 23, 2002","November 14, 2002"
Harry Potter and the Goblet of Fire,EA UK,Electronic Arts,2005-11-08NA,"November 11, 2005","November 26, 2005","November 8, 2005"
Harry Potter and the Sorcerer's Stone•Harry Potter and the Philosopher's StonePAL,Warthog Games,EA Games,2003-12-09NA,"December 12, 2003","December 11, 2003","December 9, 2003"
Harry Potter and the Prisoner of Azkaban,EA UK,EA Games,2004-05-29NA,"June 2, 2004","June 26, 2004","May 29, 2004"
Harry Potter: Quidditch World Cup,Magic Pockets,EA Games,2003-10-28NA,"November 7, 2003","November 13, 2003","October 28, 2003"
Harvest Moon: A Wonderful Life,Marvelous Entertainment,"Marvelous Entertainment (JP), Natsume (NA), Ubisoft (EU)",2003-09-12JP,"March 26, 2004","September 12, 2003","March 16, 2004"
Harvest Moon: Another Wonderful Life,Marvelous Entertainment,"Marvelous Entertainment, Natsume",2004-07-08JP,Unreleased,"July 8, 2004","July 26, 2005"
Harvest Moon: Magical Melody,Marvelous Entertainment,"Marvelous Entertainment, Natsume",2005-11-10JP,Unreleased,"November 10, 2005","March 28, 2006"
The Haunted Mansion,High Voltage Software,TDK Mediactive,2003-10-14NA,Unreleased,Unreleased,"October 14, 2003"
