Quest Braintainment,ThePharmacy,ThePharmacy,"September 10, 2010 (EU)",,,,
Shion no Ō,NCS,NCS,"April 10, 2008 (JP)",,,,
Shogi World Champion: Gekisashi DS,Mainichi Communications,Mainichi Communications,"January 28, 2010 (JP)",,,,
Shoho Kara Hajimeru Otona no Eitango Renshuu,Now Production,Now Production,"May 22, 2008 (JP)",,,,
Shonen Kininden Tsumuji,Neuron Age,Electronic Arts,"February 25, 2010 (JP)",,,,
Shorts,Artificial Mind and Movement,Majesco Entertainment,"July 11, 2009 (NA)",,,,
The Shouboutai,D3 Publisher,D3 Publisher,"June 26, 2008 (JP)",,,,
Showtime Championship Boxing,Destination Software,"Destination Software, Zoo Digital Publishing","November 10, 2007 (NA)",,,,
Shounen Sunday & Shounen Magazine: White Comic,Konami,Konami,"October 15, 2009 (JP)",,,,
Shounen Sunday x Shounen Magazine: Nettou! Dream Nine,Konami,Konami,"February 26, 2009 (JP)",,,,
Shugo Chara! 3-tsu no Tamagoto Koisuru Joker,Konami,Konami,"March 13, 2008 (JP)",,,,
Shugo Chara! Amu's Rainbow-Colored Character Change!,Konami,Konami,"November 6, 2008 (JP)",,,,
Shugo Chara! Norinori! Character Transformation zoom,Konami,Konami,"August 6, 2009 (JP)",,,,
Shuwa no Mori,Starfish SD,Starfish SD,"June 18, 2009 (JP)",,,,
SideswipedClash King V201JP,Majesco,Majesco,"September 17, 2009 (JP)",,,,
Signal,Studio Altair,D3 Publisher,"December 3, 2009 (JP)",,,,
Sid Meier's Civilization Revolution,Firaxis Games,2K Games,"July 8, 2008 (NA)",,,,
Sigma Harmonics,Think Garage,Square Enix,"August 21, 2008 (JP)",,,,
Silke: Pixeline Lillesoster - Honsefodder og GulerodderSofie: Hoensefoetter og GuleroetterNOR,Krea Media,Krea Media,2011 (EU),,,,
"Silke: Pixeline Lillesoster - Syng, Leg og LaerSofie: Syng Lek og LaerNOR",Krea Media,Krea Media,2011 (EU),,,,
Silly Bandz,Zoo Games,Zoo Games,"November 23, 2010 (NA)",,,,
Silverlicious,CokeM Interactive,GameMill Publishing,"March 13, 2012 (NA)",,,,
SimAnimals,Electronic Arts,Electronic Arts,"January 21, 2009 (NA)",,,,
SimAnimals Africa,Maxis,Electronic Arts,"October 27, 2009 (NA)",,,,
SimCity CreatorSimCity DS 2: Kodai kara Mirai e Tsuduku MachiJP,Electronic Arts,"EA Games, Electronic Arts","March 19, 2008 (JP)",,,,
SimCity DS,EA Japan,"EA Games, Electronic Arts","February 22, 2007 (JP)",,,,
Simple DS Series Vol. 08: The Kanshikikan - Kinkyuu Shutsudou!! Jiken Genba wo Touch Seyo,Tomcat System,D3 Publisher,"May 25, 2006 (JP)",,,,
Simple DS Series Vol. 12: The Party Unou Quiz,Mobile & Game Studio,D3 Publisher,"December 7, 2006 (JP)",,,,
Simple DS Series Vol. 15: The Kanshikikan 2 - Aratanaru 8-tsu no Jiken wo Touch seyo,Tomcat System,D3 Publisher,"May 31, 2007 (JP)",,,,
Simple DS Series Vol. 18: The Soukou Kihei Gun Ground,"RideonJapan,Inc.",D3 Publisher,"July 26, 2007 (JP)",,,,
Simple DS Series Vol. 19: Yareba Dekiru! THE Micro Step Gijutsu de Oboeru Eitango,Vingt-et-un Systems,D3 Publisher,"July 26, 2007 (JP)",,,,
Simple DS Series Vol. 36: Arc de Minitsuku! TOEIC Test Bunpou Tokkun Hen,Vingt-et-un Systems,D3 Publisher,"May 22, 2008 (JP)",,,,
Simple DS Series Vol. 37: Arc de Minitsuku! TOEIC Test Listening Kyouka Hen,Vingt-et-un Systems,D3 Publisher,"May 22, 2008 (JP)",,,,
Simple DS Series Vol. 38: Arc de Manabu! TOEIC Test Hajimete Hen,Vingt-et-un Systems,D3 Publisher,"May 22, 2008 (JP)",,,,
The Simpsons Game,Electronic Arts,EA Games,"October 30, 2007 (NA)",,,,
The Sims 2,Griptonite Games,Electronic Arts,"October 24, 2005 (NA)",,,,
The Sims 2: Apartment Pets,Electronic Arts,Electronic Arts,"August 26, 2008 (NA)",,,,
The Sims 2: Castaway,Maxis,"EA Games, Electronic Arts","October 22, 2007 (NA)",,,,
The Sims 2: Pets,Maxis,EA Games,"October 27, 2006 (EU)",,,,
The Sims 3,"The Sim Studio, Edge of Reality",Electronic Arts,"October 26, 2010 (NA)",,,,
Six Flags Fun Park,Brash Entertainment,Brash Entertainment,"October 28, 2008 (NA)",,,,
Skate It,Exient Entertainment,Electronic Arts,"November 19, 2008 (NA)",,,,
Slide Adventure MAGKID,Agenda,Nintendo,"August 2, 2007 (JP)",,,,
Slingo Quest,Mac Play,MumboJumbo,"October 7, 2008 (NA)",,,,
Sloane to MacHale no Nazo no Story,Level-5,Level-5,"May 21, 2009 (JP)",,,,
Sloane to MacHale no Nazo no Story 2,Level-5,Level-5,"September 3, 2009 (JP)",,,,
Smart Boy's: Gameroom,Starfish SD,"505 Games, Starfish SD, UFO Interactive Games","April 26, 2007 (JP)",,,,
Smart Boy's: Gameroom 2,Tommo,UFO Interactive Games,"September 29, 2009 (NA)",,,,
Smart Boy's: Toy Club,UFO Interactive Games,"505 Games, Starfish SD, UFO Interactive Games","April 24, 2008 (EU)",,,,
Smart Boy's: Winter Wonderland,UFO Interactive Games,UFO Interactive Games,"October 28, 2008 (NA)",,,,
Smart Girl's: Magical Book Club,UFO Interactive Games,Tommo,"November 11, 2005 (NA)",,,,
Smart Girl's: Party Games,UFO Interactive Games,"505 Games, Starfish SD, Tommo","October 23, 2008 (NA)",,,,
Smart Girl's: Playhouse,Starfish SD,"505 Games, Starfish SD, UFO Interactive Games","September 19, 2007 (NA)",,,,
Smart Girl's: Playhouse 2,Tommo,UFO Interactive Games,"September 29, 2009 (NA)",,,,
Smart Girl's Playhouse Party,Starfish SD,UFO Interactive Games,"October 19, 2010 (NA)",,,,
Smart Girl's: Winter Wonderland,UFO Interactive Games,UFO Interactive Games,"October 28, 2008 (NA)",,,,
Smart Kid's: Gameclub,UFO Interactive Games,UFO Interactive Games,"November 16, 2007 (NA)",,,,
Smart Kid's: Mega Game Mix,Starfish SD,UFO Interactive Games,"September 29, 2009 (NA)",,,,
Smart Kid's: Party Fun Pack,Starfish SD,UFO Interactive Games,"October 14, 2008 (NA)",,,,
Smiley World: Island Challenge,Frame Studios Interactive,Zoo Digital Publishing,"April 3, 2009 (PAL)",,,,
