Disc Station Bessatsu i: I Miss You.,Compile,Compile,Unreleased,Unreleased,"October 30, 1997"
DiscworldTerry Pratchett's DiscworldPAL,Psygnosis,Perfect Entertainment,Unreleased,"August 15, 1996","December 13, 1996"
Discworld II: Missing Presumed...!?Discworld 2: Mortellement VotreFR,Tantalus Entertainment,Perfect Entertainment,Unreleased,September 1997,Unreleased
DJ Wars,Exit,Spike,Unreleased,Unreleased,"December 18, 1997"
DoDonPachi,Cave,Atlus,Unreleased,Unreleased,"September 18, 1997"
DonPachi,Cave,Atlus,Unreleased,Unreleased,"April 26, 1996"
Doom,id Software,GT Interactive,"March 31, 1997",1997,"July 11, 1997"
Doraemon: Nobita to Fukkatsu no Hoshi,Sakata SAS,Epoch,Unreleased,Unreleased,"March 15, 1996"
Double Switch,Digital Pictures,Digital Pictures,November 1995,Unreleased,Unreleased
Doukoku Soshite...,"Sakata SAS, Studio Line",Data East,Unreleased,Unreleased,"February 26, 1998"
Doukoku Soshite... Final Edition,Data East,Data East,Unreleased,Unreleased,"August 6, 1998"
Doukyuusei 2,ELF,NEC Interchannel,Unreleased,Unreleased,"July 11, 1997"
Doukyuusei if,Flight-Plan,NEC Interchannel,Unreleased,Unreleased,"August 9, 1996"
Dragon Ball Z: Idainaru Dragon Ball DensetsuJP(Dragon Ball Z: The LegendPAL),TOSE,Bandai,Unreleased,1996,"May 31, 1996"
Dragon Ball Z: Shin Butoden,TOSE,Bandai,Unreleased,Unreleased,"November 17, 1995"
Dragon Force,J-ForceSega,Sega (JP/EU)Working Designs (NA),"December 12, 1996",August 1997,"March 29, 1996"
Dragon Force II,"Chime Corporation, Sega, ALU",Sega,Unreleased,Unreleased,"April 2, 1998"
DragonHeart: Fire & Steel,Funcom,Acclaim Entertainment,"November 30, 1996",December 1996,Unreleased
Dragon Master Silk,Gimmick House,Datam Polystar,Unreleased,Unreleased,"March 28, 1997"
Dream Generation: Koi ka? Shigoto ka!?...,Reindeer,Nippon Computer Systems,Unreleased,Unreleased,"July 30, 1998"
Dream Square: Hinakata Akiko,Video System,Video System,Unreleased,Unreleased,"February 14, 1997"
Drift King: Shutokou Battle '97,Natsume,Imagineer,Unreleased,Unreleased,"February 28, 1997"
Druid: Yami-He no Tsuiseki Sha,Koei,Koei,Unreleased,Unreleased,"July 2, 1998"
Duke Nukem 3D,Lobotomy Software,Sega,August 1997,"October 30, 1997",Unreleased
Dungeon Master Nexus,Victor Soft,Victor Soft,Unreleased,Unreleased,"March 26, 1998"
Dungeons & Dragons Collection,Capcom,Capcom,Unreleased,Unreleased,"March 4, 1999"
DX Jinsei Game,Takara,Takara,Unreleased,Unreleased,"December 15, 1995"
DX Jinsei Game 2,Takara,Takara,Unreleased,Unreleased,"July 24, 1997"
