"Barbie: Jet, Set & Style!",THQ,THQ,"September 20, 2011 (NA)",,,,
Barnyard Blast: Swine of the Night,Sanuk Games,"Bigben Interactive, Destination Software, Neko Entertainment","February 15, 2008 (NA)",,,,
Batman: The Brave and The Bold: The Videogame,WayForward Technologies,Warner Bros. Interactive Entertainment,"September 7, 2010 (NA)",,,,
Battle of Giants: Dinosaurs,Ubisoft Quebec,Ubisoft,"October 14, 2008 (NA)",,,,
Battle of Giants: Dragons,Ubisoft Quebec,Ubisoft,"September 29, 2009 (NA)",,,,
Battle of Giants: Mutant Insects,Ubisoft Quebec,Ubisoft,"March 2, 2010 (NA)",,,,
Battles of Prince of Persia,Ubisoft Montreal,Ubisoft,"December 6, 2005 (NA)",,,,
Battle Spirits: Digital Starter,Bandai Namco Games,Bandai Namco Games,"August 5, 2010 (JP)",,,,
Battleship,Magic Pockets,Activision,"April 20, 2012 (EU)",,,,
Battleship/Connect Four/Sorry!/Trouble,Gravity-I,Destination Software,"August 17, 2006 (NA)",,,,
Beastly Frantic Foto,7Raven Studios,Storm City Games,"March 10, 2011 (NA)",,,,
Beat City,Universomo,THQ,"April 20, 2010 (NA)",,,,
Beat the Intro,Mindscape,Mindscape,"March 31, 2010 (EU)",,,,
The Bee Game,Midway Games,Midway Games,"October 15, 2007 (NA)",,,,
Bee Movie Game,Vicarious Visions,Activision,"November 16, 2007 (PAL)",,,,
Beetle Junior DS,Snapdragon Games,Intenium,"March 27, 2008 (EU)",,,,
Bejeweled 3,PopCap,PopCap,"November 15, 2011 (NA)",,,,
Bejeweled Twist,PopCap,PopCap,"January 18, 2010 (NA)",,,,
Bella Sara,Hidden City Games,Codemasters,"September 26, 2008 (PAL)",,,,
Ben 10: Alien Force,1st Playable Productions,D3 Publisher,"October 28, 2008 (NA)",,,,
Ben 10 Alien Force: Vilgax Attacks,Papaya Studio,D3 Publisher,"October 27, 2009 (NA)",,,,
Ben 10: Galactic Racing,Straight Right,D3 Publisher,"October 18, 2011 (NA)",,,,
Ben 10: Omniverse,1st Playable Productions,D3 Publisher,"November 13, 2012 (NA)",,,,
Ben 10: Protector of Earth,1st Playable Productions,D3 Publisher,"October 30, 2007 (NA)",,,,
Ben 10 Ultimate Alien: Cosmic Destruction,Griptonite Games,D3 Publisher,"October 5, 2010 (NA)",,,,
Benjamin Blumchen Vorschulspass: Lernen spielen und verstehen,Kiddinx,Kiddinx,"January 29, 2010 (EU)",,,,
Benjamin the Elephant: A Day at the Zoo,Kiddinx,Kiddinx,"March 13, 2009 (EU)",,,,
Berlitz: My English Coach,Sanuk Games,Avanquest Software,"April 8, 2009 (EU)",,,,
Bermuda Triangle: Saving the Coral,Storm City Games,Storm City Games,"February 2, 2010 (NA)",,,,
Best of Arcade Games DS,DREAM ON STUDIO,Bigben Interactive,"December 10, 2008 (EU)",,,,
Best of Board Games DS,DREAM ON STUDIO,Bigben Interactive,"August 29, 2007 (EU)",,,,
Best of Card Games DS,DREAM ON STUDIO,Bigben Interactive,"December 1, 2006 (EU)",,,,
Best Friends Tonight,Ubisoft,Ubisoft,"February 9, 2010 (NA)",,,,
Best of Tests DS,Otaboo,Conspiracy Entertainment,"March 4, 2008 (NA)",,,,
Betty Boop's Double Shift,Black Lantern Studios,"Destination Software, Zoo Digital Publishing","October 19, 2007 (PAL)",,,,
Beyblade: Metal Fusion,Hudson Soft,Konami,"December 3, 2009 (JP)",,,,
Beyblade: Metal Masters,Hudson Soft,Konami,"July 15, 2010 (JP)",,,,
Bibi & Tina: Das grosse Unwetter,Kiddinx,Kiddinx,"September 10, 2010 (EU)",,,,
Bibi & Tina - Jump & Ride,Morgen Studios,Kiddinx,"October 24, 2010 (EU)",,,,
Bibi & Tina: The Great HuntBibi & Tina: Die grosse Schnitzeljagd,Kiddinx,Kiddinx,"March 13, 2009 (EU)",,,,
BiBi Blocksberg: Das gestohlene Hexbuch,Kiddinx,Kiddinx,"March 15, 2011 (EU)",,,,
Bibi Blocksberg: Der verhexte Schloss-Schatz,Kiddinx,Kiddinx,"July 10, 2012 (EU)",,,,
Bibi Blocksberg: Neustadt im Hex-Chaos,Kiddinx,Kiddinx,"November 7, 2008 (EU)",,,,
Bienvenue chez les Ch'tis,Le Caillou,Mindscape,"October 29, 2008 (EU)",,,,
Big Bang Mini,Arkedo Studio,SouthPeak Games,"January 1, 2009 (NA)",,,,
Big Brain Academy,Nintendo,Nintendo,"June 30, 2005 (JP)",,,,
The Big Deal,Laughing Jackal,Midas Interactive Entertainment,"October 23, 2009 (PAL)",,,,
Big League Sports Summer,Koolhaus Games,Activision,"June 16, 2009 (NA)",,,,
Big Mutha Truckers,Raylight Studios,"Destination Software, Zoo Digital Publishing","October 19, 2005 (NA)",,,,
Bigfoot: Collision Course,Destination Software,Zoo Games,"January 9, 2009 (NA)",,,,
The Bigs 2,Blue Castle Games,2K Sports,"July 7, 2009 (NA)",,,,
Biker Mice from Mars,Full Fat,The Game Factory,"February 9, 2007 (PAL)",,,,
Bikkuriman Daijiten,3 O'Clock,3 O'Clock,"August 23, 2007 (JP)",,,,
Billiard ActionSimple DS Series Vol. 2: The BilliardJP,Agenda,"505 Games, D3 Publisher","June 30, 2005 (JP)",,,,
