Buzz! Junior: Jungle Party,Cohort Studios,Unreleased,"August 28, 2008","March 12, 2009",,[184]
Buzz! Junior: Monster Rumble,Cohort Studios,Unreleased,"September 3, 2009","October 15, 2009",,[185]
Buzz! Junior: Robo Jam,Cohort Studios,Unreleased,"May 14, 2009","July 9, 2009",,[186]
Buzz!: Quiz Player,Relentless Software,Unreleased,Unreleased,"December 21, 2012",,[187]
Buzz!: Quiz TV,Relentless Software,Unreleased,"July 4, 2008","September 23, 2008",E,[188]
Buzz!: Quiz World,Relentless Software,Unreleased,"October 30, 2009","November 10, 2009",E,[189]
Buzz!: The Ultimate Music Quiz,Relentless Software,Unreleased,"August 22, 2010",Unreleased,M,[190]
Cabela's Adventure Camp,Cauldron,Unreleased,Unreleased,"November 1, 2011",M
Cabela's African Adventures,Activision,Unreleased,Unreleased,"October 15, 2013",,[191]
Cabela's Big Game Hunter 2010,Cauldron HQ,Unreleased,Unreleased,"September 29, 2009",,[192]
Cabela's Big Game Hunter 2012,Cauldron HQ,"September 27, 2011","September 27, 2011","September 27, 2011",M,[193]
Cabela's Big Game Hunter: Pro Hunts,Cauldron,Unreleased,Unreleased,"March 25, 2014",,[194]
Cabela's Dangerous Hunts 2009,Sand Grain Studios,Unreleased,"March 12, 2008","September 23, 2008",,[195]
Cabela's Dangerous Hunts 2011,Activision,Unreleased,Unreleased,"May 6, 2011",M,[196]
Cabela's Dangerous Hunts 2013,Activision,Unreleased,Unreleased,"October 23, 2012",,[197]
Cabela's Hunting Expeditions,Fun Labs,Unreleased,Unreleased,"August 23, 2012",,[198]
