Iron Tank: The Invasion of Normandy,SNK,SNK,SNK,July 1988,1988
Ironsword: Wizards & Warriors II,Zippo Games,Acclaim Entertainment,Acclaim Entertainment,December 1989,"March 27, 1991"
Isolated Warrior,KID,NTVIC,Nintendo,February 1991,1991
Ivan 'Ironman' Stewart's Super Off Road,Rare,Tradewest,Nintendo,April 1990,"March 14, 1991"
Jack Nicklaus' Greatest 18 Holes of Major Championship Golf,Sculptured Software,Konami,Konami,March 1990,"June 27, 1991"
Jackal,Konami,Konami,Unreleased,September 1988,Unreleased
Jackie Chan's Action Kung Fu,Now Production,Hudson Soft,Hudson Soft,December 1990,1991
James Bond Jr.,Eurocom,THQ,THQ,November 1992,1992
Jaws,Escape/Westone,LJN,Unreleased,November 1987,Unreleased
Jeopardy!,Rare,GameTek,Unreleased,September 1988,Unreleased
Jeopardy! 25th Anniversary Edition,Rare,GameTek,Unreleased,June 1990,Unreleased
Jeopardy! Junior Edition,Rare,GameTek,Unreleased,October 1989,Unreleased
The Jetsons: Cogswell's Caper!,Natsume,Taito,Taito,December 1992,"August 26, 1993"
Jimmy Connors Tennis,NMS Software,Ubisoft,Ubisoft,November 1993,1993
Joe & Mac (NA)Joe & Mac: Caveman Ninja (EU),Elite Systems,Data East,Elite Systems,December 1992,1992
John Elway's Quarterback,Rare,Tradewest,Unreleased,March 1989,Unreleased
Jordan vs. Bird: One on One,Rare,Milton Bradley Company,Unreleased,August 1989,Unreleased
Journey to Silius,Sunsoft,Sunsoft,Sunsoft,September 1990,"February 21, 1991"
Joust,HAL Laboratory,HAL America,Unreleased,October 1988,Unreleased
Jurassic Park,Ocean Software,Ocean Software,Ocean Software,June 1993,"December 28, 1993"
Kabuki: Quantum Fighter,Human Entertainment,HAL America,Nintendo,January 1991,"February 20, 1992"
Karate Champ,"Data East, Sakata SAS",Data East,Unreleased,December 1986,Unreleased
The Karate Kid,Atlus,LJN,Unreleased,November 1987,Unreleased
Karnov,"Data East, Sakata SAS",Data East,Unreleased,January 1988,Unreleased
Kick Master,KID,Taito,Unreleased,January 1992,Unreleased
Kick Off,Enigma Variations,Unreleased,Imagineer,Unreleased,"July 22, 1992"
Kickle Cubicle,Irem,Irem,Nintendo,September 1990,1990
Kid Icarus,"Nintendo Research & Development 1, TOSE",Nintendo,Nintendo,"July 1, 1987","February 15, 1987"
Kid Klown in Night Mayor World,Kemco,Kemco,Unreleased,April 1993,Unreleased
Kid Kool,Vic Tokai,Vic Tokai,Unreleased,March 1990,Unreleased
Kid Niki: Radical Ninja,TOSE,Data East,Unreleased,November 1987,Unreleased
King's Knight,"Square, Workss",Square,Unreleased,September 1989,Unreleased
King's Quest V: Absence Makes the Heart Go Yonder!,Novotrade International,Konami,Unreleased,June 1992,Unreleased
Kings of the Beach,Konami,Ultra Games,Unreleased,January 1990,Unreleased
